text,category,priority,source,category_encoded,priority_encoded
taste oil milk hygiene rate,Canteen,Low,synth_highacc,9,1
stipend netbanking due grant stipend,Fees / Finance,High,synth_highacc,3,2
regulation affidavit issue guideline regulation,Administration,Medium,synth_highacc,7,0
withdrawal invoice pending tuition remit,Fees / Finance,Low,synth_highacc,3,1
fare brake increased bus pickup,Transport,Low,synth_highacc,5,1
search locate shelf database fine,Library,Medium,synth_highacc,8,0
i saw a student s backpack get caught in the bus door as it was pulling away the driver didn t notice until we all started screaming we need better sensors on those doors,Transport,High,complaint_triage,5,2
food daal rotten fork dinner,Canteen,High,synth_highacc,9,2
waiver refund rejected statement cashier,Fees / Finance,High,synth_highacc,3,2
cloud protocol sync down cloud,IT Support,Medium,synth_highacc,0,0
bully danger complaint fought fraud,Security / Discipline,Low,synth_highacc,6,1
circular notice notary admission seal,Administration,Medium,synth_highacc,7,0
cycle diesel stolen route driver,Transport,Low,synth_highacc,5,1
transaction loan failed cashier audit,Fees / Finance,Medium,synth_highacc,3,0
harrass stolen sexual stranger arrest,Security / Discipline,High,synth_highacc,6,2
book expired abstract reading,Library,Medium,synth_highacc,8,0
print index queue rack available,Library,Low,synth_highacc,8,1
email firmware desktop password scanner,IT Support,High,synth_highacc,0,2
mosquito bunk heating bathroom towel,Hostels,Low,synth_highacc,1,1
finance upi section due withdrawal,Fees / Finance,Medium,synth_highacc,3,0
exam professor timetable topic internship,Academics,Low,synth_highacc,2,1
the chalk used in the basic electrical class is very dusty and leaves a lot of residue on the front row desks maybe the department could switch to dust free chalk or provide whiteboards for the older classrooms,Academics,Low,complaint_triage,2,1
dean requested approval status certificate,Administration,High,synth_highacc,7,2
threaten fight life smoke case,Security / Discipline,Low,synth_highacc,6,1
quiz credit score textbook submission,Academics,Low,synth_highacc,2,1
invoice waiver pending bill online,Fees / Finance,High,synth_highacc,3,2
clerk endorse verification admission notice,Administration,Medium,synth_highacc,7,0
gutter wrench cleaning fuse stair,Maintenance,Medium,synth_highacc,4,0
publisher newspaper details fine card,Library,Low,synth_highacc,8,1
vegetable daal expensive chicken sabzi,Canteen,Medium,synth_highacc,9,0
chapati price hard snack juice,Canteen,Medium,synth_highacc,9,0
chair noisy broken water soap,Hostels,Medium,synth_highacc,1,0
ram laptop upgrade charger display,IT Support,Medium,synth_highacc,0,0
renew rack request section nonfiction,Library,High,synth_highacc,8,2
refund transaction process reimbursement statement,Fees / Finance,Medium,synth_highacc,3,0
vpn usb routing bandwidth cable,IT Support,High,synth_highacc,0,2
paint plaster screwdriver handle sewage,Maintenance,Medium,synth_highacc,4,0
dust ceiling handle drill handle,Maintenance,Medium,synth_highacc,4,0
harrass threaten sexual investigate sexual,Security / Discipline,Low,synth_highacc,6,1
deposit balance refund loan remit,Fees / Finance,High,synth_highacc,3,2
presentation result scholar group grading,Academics,High,synth_highacc,2,2
case abusing pending injured fir,Security / Discipline,High,synth_highacc,6,2
invoice reimbursement tuition bill budget,Fees / Finance,High,synth_highacc,3,2
route numberplate diversion diesel shuttle,Transport,Low,synth_highacc,5,1
blanket mattress heating table blanket,Hostels,Medium,synth_highacc,1,0
someone is using a fake id to get into the campus bar i saw them showing it to the staff and it was clearly not them i don t want the university to get in trouble for underage drinking,Security / Discipline,Low,complaint_triage,6,1
pipe fused rusted electrician brick,Maintenance,Low,synth_highacc,4,1
lunch cook sauce breakfast curry,Canteen,High,synth_highacc,9,2
driver diesel mandatory conductor traffic,Transport,Low,synth_highacc,5,1
canteen cook stale kitchen cup,Canteen,Medium,synth_highacc,9,0
theft haras reported insulting cybercrime,Security / Discipline,High,synth_highacc,6,2
stolen teasing cybercrime harassment harrass,Security / Discipline,High,synth_highacc,6,2
login portal shutdown ssd charger,IT Support,Low,synth_highacc,0,1
policy approval amendment guideline missing,Administration,Medium,synth_highacc,7,0
stair sewage railing exposed hammer,Maintenance,High,synth_highacc,4,2
drugs complaint peddling arrest fight,Security / Discipline,High,synth_highacc,6,2
desk card staff counter aisle,Library,High,synth_highacc,8,2
circular notice application notice delay,Administration,High,synth_highacc,7,2
book print recommendation volume librarian,Library,Medium,synth_highacc,8,0
procedure processing enquiry awaiting notary,Administration,Low,synth_highacc,7,1
blanket mattress hanger service stinking,Hostels,High,synth_highacc,1,2
withdrawal fee processed bank budget,Fees / Finance,Medium,synth_highacc,3,0
placement faculty drive workshop project,Academics,Low,synth_highacc,2,1
weapon danger found harassed murder,Security / Discipline,Low,synth_highacc,6,1
vehicle provided gear parking overcrowded,Transport,Low,synth_highacc,5,1
weapon raped found harrass fir,Security / Discipline,High,synth_highacc,6,2
download port stuck storage browser,IT Support,Medium,synth_highacc,0,0
vegetable price oily counter chapati,Canteen,Low,synth_highacc,9,1
affidavit notice sworn missing notary,Administration,Low,synth_highacc,7,1
pipe broken burst sweeping peeling,Maintenance,Low,synth_highacc,4,1
tap cupboard dripping flush fan,Hostels,High,synth_highacc,1,2
software download crashing log portal,IT Support,High,synth_highacc,0,2
bonafide endorse certificate submission examination,Administration,High,synth_highacc,7,2
quiz group revaluation report syllabus,Academics,High,synth_highacc,2,2
tyre petrol puncture fare meter,Transport,High,synth_highacc,5,2
examination bonafide form status registrar,Administration,Low,synth_highacc,7,1
detergent water over water fan,Hostels,Low,synth_highacc,1,1
guard fraud witness cctv environment,Security / Discipline,Medium,synth_highacc,6,0
rice dinner pickle chapati taste,Canteen,High,synth_highacc,9,2
mac ip filter ram usb,IT Support,Medium,synth_highacc,0,0
horn numberplate not traffic numberplate,Transport,High,synth_highacc,5,2
oil rate breakfast plate drink,Canteen,Low,synth_highacc,9,1
fare stop refund provided bus,Transport,Low,synth_highacc,5,1
fan noisy speed bed bunk,Hostels,High,synth_highacc,1,2
registration signature completed pending awaiting,Administration,High,synth_highacc,7,2
assignment timetable feedback chapter workshop,Academics,Low,synth_highacc,2,1
book desk damaged abstract rack,Library,Medium,synth_highacc,8,0
silent subscription zone return subscription,Library,Medium,synth_highacc,8,0
harassment abusing filed violence haras,Security / Discipline,High,synth_highacc,6,2
verification dean done examination guideline,Administration,Medium,synth_highacc,7,0
request for more frequent cleaning of the whiteboards in the student lounge they are often left with old marker stains from previous days making it hard for new groups to use them for brainstorming,Academics,Low,complaint_triage,2,1
suspicious fought accused stranger patrol,Security / Discipline,High,synth_highacc,6,2
queue price tea counter daal,Canteen,Medium,synth_highacc,9,0
driver usb protocol patch mouse,IT Support,High,synth_highacc,0,2
letterhead hostel notice official status,Administration,Medium,synth_highacc,7,0
the digital clock in the lobby has a very bright blue display that is a bit piercing at night if there s a way to dim it or switch it to a softer color like red or amber it would be much better,Maintenance,Low,complaint_triage,4,1
sexual scam harassment case teased,Security / Discipline,Low,synth_highacc,6,1
the annual report on student welfare funds hasn t been posted in the lobby this year we always like to see how the student activity fees are being utilized for campus events and sports equipment,Fees / Finance,Low,complaint_triage,3,1
fiction photocopy available shelf aisle,Library,Medium,synth_highacc,8,0
the card reader at the entrance of the girls dorm is broken we have to leave the door propped open so people can get in which means anyone can enter the building,Security / Discipline,High,complaint_triage,6,2
deposit stipend refund gst balance,Fees / Finance,High,synth_highacc,3,2
sewage maintenance smell fix renovation,Maintenance,High,synth_highacc,4,2
transaction stipend fund bank remit,Fees / Finance,High,synth_highacc,3,2
edition publisher outdated photocopy rack,Library,High,synth_highacc,8,2
fare rickshaw increased ticket vehicle,Transport,Low,synth_highacc,5,1
headlight overcrowded dim parking schedule,Transport,Medium,synth_highacc,5,0
violence rape physical complaint injured,Security / Discipline,Medium,synth_highacc,6,0
cleaning carpenter wrench sweeping maintenance,Maintenance,Low,synth_highacc,4,1
bank application transfer debit scholarship,Fees / Finance,High,synth_highacc,3,2
bus seat license windscreen,Transport,High,synth_highacc,5,2
configure speed setup network slow,IT Support,Medium,synth_highacc,0,0
feedback for the first assignment was never provided we have already submitted the second assignment without knowing what we did wrong in the first one this defeats the purpose of continuous evaluation please ask the ta to release the comments and marks as soon as possible,Academics,Medium,complaint_triage,2,0
seat taillight reserved gear petrol,Transport,High,synth_highacc,5,2
transfer endorse certificate admission awaiting,Administration,Low,synth_highacc,7,1
ethernet projector wlan dns mouse,IT Support,Low,synth_highacc,0,1
cctv fraud footage weapon stole,Security / Discipline,High,synth_highacc,6,2
finance debit office concession tax,Fees / Finance,Medium,synth_highacc,3,0
kitchen chapati hygiene bill taste,Canteen,Low,synth_highacc,9,1
headlight taillight driver taxi cab,Transport,High,synth_highacc,5,2
circular notice deadline stamp bonafide,Administration,Low,synth_highacc,7,1
roommate toilet almirah staircase,Hostels,Medium,synth_highacc,1,0
lecture score timing homework syllabus,Academics,Low,synth_highacc,2,1
ceiling hammer repair maintenance damage,Maintenance,Medium,synth_highacc,4,0
faculty missing mentor exam question,Academics,High,synth_highacc,2,2
interest online grant waiver payment,Fees / Finance,High,synth_highacc,3,2
cable ethernet loose update freeze,IT Support,Low,synth_highacc,0,1
reading silent thesis available bibliography,Library,Low,synth_highacc,8,1
oil cheap drink plate expensive,Canteen,Low,synth_highacc,9,1
annual day function management was very poor this year,Administration,Medium,manual,7,0
treasury waiver department charges remit,Fees / Finance,Medium,synth_highacc,3,0
circular regulation clarification certificate dean,Administration,Medium,synth_highacc,7,0
shampoo laundry finished fan heating,Hostels,Medium,synth_highacc,1,0
drink kitchen fresh juice meal,Canteen,Low,synth_highacc,9,1
lecture grading cancelled syllabus grade,Academics,Low,synth_highacc,2,1
cable hardware loose patch login,IT Support,Low,synth_highacc,0,1
tile socket broken pipe screwdriver,Maintenance,High,synth_highacc,4,2
clerk official rude admission notary,Administration,Medium,synth_highacc,7,0
can we get a few more magazines for the reading area the current selection is quite old and it would be nice to have some updated tech or science journals to browse through during our free time,Hostels,Low,complaint_triage,1,1
syllabus curriculum incomplete workshop mentor,Academics,Medium,synth_highacc,2,0
card fund declined fee loan,Fees / Finance,Low,synth_highacc,3,1
rice tea undercook food oil,Canteen,High,synth_highacc,9,2
payment payment failed card remit,Fees / Finance,High,synth_highacc,3,2
cement brick hinge tile construction,Maintenance,Low,synth_highacc,4,1
egg chapati worth daal mess,Canteen,High,synth_highacc,9,2
the lock on the post box is jammed i can t get my mail out because the key won t turn in the cylinder i ve tried using some oil but it didn t help i need a locksmith or the maintenance team to open it and replace the lock,Maintenance,Medium,complaint_triage,4,0
investigate ragging matter thief abuse,Security / Discipline,Low,synth_highacc,6,1
research counter paper photocopy abstract,Library,High,synth_highacc,8,2
pipeline pipe leakage carpenter switch,Maintenance,Low,synth_highacc,4,1
vegetable menu food chicken counter,Canteen,Medium,synth_highacc,9,0
pickup drop petrol windscreen route,Transport,Medium,synth_highacc,5,0
certificate stamp issue transfer transfer,Administration,Medium,synth_highacc,7,0
door fuse jammed cement construction,Maintenance,Medium,synth_highacc,4,0
egg dinner coffee daal plate,Canteen,High,synth_highacc,9,2
membership counter renewal thesis volume,Library,High,synth_highacc,8,2
index desk page reading fiction,Library,Medium,synth_highacc,8,0
breakfast queue menu tea egg,Canteen,Low,synth_highacc,9,1
construction crack debris stair pipeline,Maintenance,Medium,synth_highacc,4,0
headlight taillight taxi schedule petrol,Transport,Medium,synth_highacc,5,0
deadline letterhead missed admission download,Administration,Medium,synth_highacc,7,0
guideline missing followed circular dean,Administration,Medium,synth_highacc,7,0
antivirus software blocking install router,IT Support,Low,synth_highacc,0,1
window washroom shutter heater shampoo,Hostels,Medium,synth_highacc,1,0
dinner milk served juice overcharge,Canteen,Medium,synth_highacc,9,0
water daal unclean milk canteen,Canteen,High,synth_highacc,9,2
scholarship penalty renewal account grant,Fees / Finance,Medium,synth_highacc,3,0
tea chapati cold snack tea,Canteen,High,synth_highacc,9,2
card late declined due penalty,Fees / Finance,High,synth_highacc,3,2
interest audit rate scholarship cashier,Fees / Finance,Low,synth_highacc,3,1
ragging harassment offence fight culprit,Security / Discipline,Low,synth_highacc,6,1
queue chicken cup counter vegetable,Canteen,High,synth_highacc,9,2
regulation clerk signature guideline approval,Administration,Low,synth_highacc,7,1
scholarship guideline form notice guideline,Administration,High,synth_highacc,7,2
vegetable sabzi price chicken fresh,Canteen,Low,synth_highacc,9,1
chapter answer summary scholar training,Academics,High,synth_highacc,2,2
blanket fan torn table washroom,Hostels,Medium,synth_highacc,1,0
photocopy book machine desk periodical,Library,Medium,synth_highacc,8,0
account reimbursement budget deduction remit,Fees / Finance,High,synth_highacc,3,2
driver license meter conductor overcrowded,Transport,Medium,synth_highacc,5,0
schedule stop delayed taillight overcrowded,Transport,Low,synth_highacc,5,1
book absent overdue book index,Library,Medium,synth_highacc,8,0
stipend grant deposit grant payable,Fees / Finance,Low,synth_highacc,3,1
refund online delayed fund tuition,Fees / Finance,Low,synth_highacc,3,1
scholarship waiver card tuition finance,Fees / Finance,Low,synth_highacc,3,1
license fare suspended gear brake,Transport,Low,synth_highacc,5,1
reference scan desk nonfiction article,Library,High,synth_highacc,8,2
bluetooth network pairing shutdown keyboard,IT Support,Low,synth_highacc,0,1
switch pane spark pipe bulb,Maintenance,Low,synth_highacc,4,1
midterm teacher results cancel textbook,Academics,Medium,synth_highacc,2,0
curtain chair damaged chair hanger,Hostels,Medium,synth_highacc,1,0
locate article shelf research index,Library,High,synth_highacc,8,2
wire switch construction pane hinge,Maintenance,Medium,synth_highacc,4,0
the finance helpdesk phone number is never answered i have been calling for three days to ask about my scholarship status and it just rings or goes to voicemail it s very difficult for us to keep visiting the office during lecture hours just for small queries,Fees / Finance,Medium,complaint_triage,3,0
tutorial grading cancelled absent teacher,Academics,High,synth_highacc,2,2
assignment quiz deadline tutorial project,Academics,High,synth_highacc,2,2
poor quality of food in the mess for the last few days the rotis are consistently burnt and the dal is extremely watery several of us have spoken to the mess manager but there has been no improvement in the service we pay for a balanced diet and this is not it,Hostels,Medium,complaint_triage,1,0
harrass incident sexual scam scam,Security / Discipline,Low,synth_highacc,6,1
slipper pillow slipper bed slow,Hostels,Medium,synth_highacc,1,0
sink pillow pipe sink tap,Hostels,High,synth_highacc,1,2
taste cheap bad spoon drink,Canteen,Low,synth_highacc,9,1
parking pickup full bus auto,Transport,High,synth_highacc,5,2
warden flush table inverter,Hostels,Medium,synth_highacc,1,0
bill expensive overcharge egg coffee,Canteen,High,synth_highacc,9,2
drill repairman noise brick repair,Maintenance,High,synth_highacc,4,2
egg overcharge stale daal meal,Canteen,Low,synth_highacc,9,1
cycle bicycle stop charges clutch,Transport,Low,synth_highacc,5,1
warden geyser permission fan tap,Hostels,Medium,synth_highacc,1,0
alcohol attack smoke smoke laptop,Security / Discipline,Low,synth_highacc,6,1
curriculum professor outdated score answer,Academics,High,synth_highacc,2,2
detergent table washroom hanger soap,Hostels,Medium,synth_highacc,1,0
wire switch exposed sweeping sparking,Maintenance,Low,synth_highacc,4,1
audit bank report upi waiver,Fees / Finance,High,synth_highacc,3,2
the study material provided on the lms for theory of computation is just a series of scanned images that are unreadable we cannot search for keywords or use screen readers could the department provide proper digital pdfs or a standard textbook reference that matches the slides,Academics,Medium,complaint_triage,2,0
curtain chair damaged chair strict,Hostels,Medium,synth_highacc,1,0
the fee receipt generated by the portal is missing the university seal i need to submit this to my father s office for his hra and education allowance but they rejected the current pdf can the finance department provide a digitally signed version with the official stamp,Fees / Finance,Medium,complaint_triage,3,0
hanger balcony broken slipper towel,Hostels,Low,synth_highacc,1,1
door hinge jammed hole cracked,Maintenance,Low,synth_highacc,4,1
dean submission approval processing deadline,Administration,Medium,synth_highacc,7,0
there is a lot of litter on the night buses it would be great if there were small trash cans installed near the exits so people don t just leave their bottles on the floor,Transport,Low,complaint_triage,5,1
critical spreadsheet corrupted after sync workbook opens with a corruption error auto save shows multiple conflicting versions urgently need a clean version restored please check revision history and backups due today for committee review exact path and timestamps available thank you for fast recovery,IT Support,High,complaint_triage,0,2
research nonfiction section reference stack,Library,Medium,synth_highacc,8,0
credit midterm transfer quiz viva,Academics,High,synth_highacc,2,2
request for window mesh repair the mosquito netting in my room has a hole in it and insects are getting in at night i ve tried taping it but it doesn t hold i would appreciate it if a new mesh could be fitted,Hostels,Medium,complaint_triage,1,0
sexual witness harassment fight corridor,Security / Discipline,Low,synth_highacc,6,1
chair fan broken laundry drainage,Hostels,Low,synth_highacc,1,1
lunch rotten delayed mess overcharge,Canteen,Low,synth_highacc,9,1
clerk signature verification admission awaiting,Administration,Medium,synth_highacc,7,0
fail connection ethernet vpn error,IT Support,Low,synth_highacc,0,1
mentor seminar guidance schedule seminar,Academics,Medium,synth_highacc,2,0
egg rotten oil daal milk,Canteen,High,synth_highacc,9,2
water drink unclean quality cup,Canteen,High,synth_highacc,9,2
bill pickle overcharge chapati cook,Canteen,Medium,synth_highacc,9,0
bank arrear statement remit scholarship,Fees / Finance,High,synth_highacc,3,2
maintenance screwdriver needed carpenter broken,Maintenance,Low,synth_highacc,4,1
fir hostel lodged weapon rape,Security / Discipline,Low,synth_highacc,6,1
request to reposition the trash bin in the common area by a few feet currently it s placed right under the light switch which makes it a bit awkward to reach for the button in the dark moving it to the corner would be a better layout,Maintenance,Low,complaint_triage,4,1
bill remit incorrect gst receipt,Fees / Finance,Low,synth_highacc,3,1
plumber jammed ceiling wire,Maintenance,Low,synth_highacc,4,1
weapon arrest found sexually fraud,Security / Discipline,High,synth_highacc,6,2
the 8 00 am bus broke down on the main bridge and we were stuck there for 45 minutes i missed my 8 30 am quiz which is 10 of my grade is there any way to get a formal note for my professor,Transport,High,complaint_triage,5,2
crack sewage lock hole wire,Maintenance,Medium,synth_highacc,4,0
outstanding credit amount charges online,Fees / Finance,Medium,synth_highacc,3,0
vandalism tease property complaint theft,Security / Discipline,Low,synth_highacc,6,1
construction drain noise valve fix,Maintenance,High,synth_highacc,4,2
dampness and mold growth on the north wall after the rains a large patch of black mold has appeared in the corner of my room it is causing a musty smell and i am worried about the air quality this needs to be cleaned and the wall waterproofed,Hostels,Medium,complaint_triage,1,0
reboot shutdown ram software internet,IT Support,High,synth_highacc,0,2
installment debit upi receipt account,Fees / Finance,Low,synth_highacc,3,1
request for a formal letter from the finance office for an external scholarship the ngo providing my funding needs a letter on university letterhead stating my total annual expenses i have the format ready when can i pick this up,Fees / Finance,Medium,complaint_triage,3,0
tutorial practical extra homework answer,Academics,Medium,synth_highacc,2,0
finance charges office waiver arrear,Fees / Finance,Low,synth_highacc,3,1
processing dean slow submission approval,Administration,Low,synth_highacc,7,1
procedure deadline lengthy letterhead letterhead,Administration,High,synth_highacc,7,2
plumber hinge tap ladder hinge,Maintenance,Medium,synth_highacc,4,0
there is a person on the roof of the 10 story admin building and they are standing very close to the edge they look like they might jump please send a crisis team immediately,Security / Discipline,High,complaint_triage,6,2
waiver cashier rejected netbanking grant,Fees / Finance,Medium,synth_highacc,3,0
detergent geyser over table inverter,Hostels,Low,synth_highacc,1,1
processing pending rejected registrar letterhead,Administration,Medium,synth_highacc,7,0
submission notarized pending regulation enrollment,Administration,High,synth_highacc,7,2
theft molest interrogate thief,Security / Discipline,Low,synth_highacc,6,1
professor curriculum leave chapter report,Academics,Low,synth_highacc,2,1
headlight taillight auto clutch mirror,Transport,High,synth_highacc,5,2
citation scan format card photocopy,Library,Low,synth_highacc,8,1
browser firmware cache down speed,IT Support,Medium,synth_highacc,0,0
theft weapon surveillance thief,Security / Discipline,Medium,synth_highacc,6,0
stranger harrass entry insulting fight,Security / Discipline,Medium,synth_highacc,6,0
fare bicycle revision route meter,Transport,Low,synth_highacc,5,1
curriculum missing outdated final lecture,Academics,Low,synth_highacc,2,1
sink blanket pipe geyser warden,Hostels,Medium,synth_highacc,1,0
enrollment attestation number submit notarized,Administration,Low,synth_highacc,7,1
staircase shampoo fan laundry laundry,Hostels,Medium,synth_highacc,1,0
wrench ladder repair peeling hole,Maintenance,High,synth_highacc,4,2
shampoo locker finished staircase washroom,Hostels,High,synth_highacc,1,2
signature pending attestation procedure scholarship,Administration,High,synth_highacc,7,2
cheap daal juice worth drink,Canteen,Medium,synth_highacc,9,0
laundry hanger machine toilet sink,Hostels,Medium,synth_highacc,1,0
sewage sewage backup renovation drain,Maintenance,Medium,synth_highacc,4,0
seminar overdue postponed professor placement,Academics,High,synth_highacc,2,2
notebook credit correction result postpone,Academics,Medium,synth_highacc,2,0
letterhead dean hostel official notice,Administration,Medium,synth_highacc,7,0
bullied scam harassed raped corridor,Security / Discipline,Low,synth_highacc,6,1
warden corridor strict chair table,Hostels,Low,synth_highacc,1,1
plaster drain falling roof fuse,Maintenance,Medium,synth_highacc,4,0
internship homework opportunity textbook delay,Academics,Medium,synth_highacc,2,0
scholar overdue registration schedule lecturer,Academics,Medium,synth_highacc,2,0
ticket gear missing parking mandatory,Transport,High,synth_highacc,5,2
danger accused injured unsafe environment,Security / Discipline,High,synth_highacc,6,2
application policy rejected scholarship affidavit,Administration,High,synth_highacc,7,2
stop clutch skipped petrol rickshaw,Transport,High,synth_highacc,5,2
fiction desk available publisher periodical,Library,Low,synth_highacc,8,1
temporary admin rights for approved research tool need same day install of a vendor sdk approval attached please assign jit elevation,IT Support,Low,complaint_triage,0,1
viva score conducted degree degree,Academics,Low,synth_highacc,2,1
scan membership card librarian shelf,Library,Medium,synth_highacc,8,0
overcharge rate overcharge water worth,Canteen,High,synth_highacc,9,2
policy endorse amendment migration missing,Administration,High,synth_highacc,7,2
the projector in room 402 has a very dim lamp the slides are barely visible even with the lights turned off this is a core theory room and we have four lectures there every day please replace the bulb or the projector unit,Academics,Medium,complaint_triage,2,0
ticket traffic missing pickup gear,Transport,High,synth_highacc,5,2
proxy blocks vendor documentation site docs subdomain is categorized incorrectly please review and allow if appropriate,IT Support,Medium,complaint_triage,0,0
drainage drainage clogged toilet inverter,Hostels,Medium,synth_highacc,1,0
evidence hostel alcohol interrogate sexual,Security / Discipline,High,synth_highacc,6,2
ssd antivirus storage software protocol,IT Support,High,synth_highacc,0,2
drain sewage stair renovation fuse,Maintenance,Medium,synth_highacc,4,0
journal print subscription aisle renew,Library,High,synth_highacc,8,2
tax gst card card concession,Fees / Finance,Low,synth_highacc,3,1
tax budget deduction account transaction,Fees / Finance,Medium,synth_highacc,3,0
charges scholarship due outstanding interest,Fees / Finance,Low,synth_highacc,3,1
vpn router routing portal shutdown,IT Support,High,synth_highacc,0,2
drainage door clogged heating dirty,Hostels,Low,synth_highacc,1,1
penalty search charged magazine rack,Library,Medium,synth_highacc,8,0
grant card approved application loan,Fees / Finance,Medium,synth_highacc,3,0
practical internship marks viva assignment,Academics,High,synth_highacc,2,2
roommate locker noisy mug water,Hostels,Medium,synth_highacc,1,0
document clerk sworn circular,Administration,Low,synth_highacc,7,1
sewage construction smell dust cleaning,Maintenance,High,synth_highacc,4,2
schedule taxi weekend horn mirror,Transport,High,synth_highacc,5,2
window exhaust shutter table soap,Hostels,High,synth_highacc,1,2
projector wifi mouse cable processor,IT Support,Low,synth_highacc,0,1
counter drink staff fresh mess,Canteen,Low,synth_highacc,9,1
brake clutch windscreen stop clutch,Transport,Medium,synth_highacc,5,0
certificate hostel status application form,Administration,Low,synth_highacc,7,1
cook hygiene tea curry queue,Canteen,Medium,synth_highacc,9,0
reimbursement penalty pending charges tax,Fees / Finance,High,synth_highacc,3,2
guard cctv sleeping kidnap alcohol,Security / Discipline,High,synth_highacc,6,2
notebook syllabus mentor curriculum final,Academics,High,synth_highacc,2,2
pickup drop ticket charges diesel,Transport,High,synth_highacc,5,2
fee debit payment debit,Fees / Finance,Medium,synth_highacc,3,0
wire switch grill handle fuse,Maintenance,Medium,synth_highacc,4,0
article bibliography unavailable journal librarian,Library,Medium,synth_highacc,8,0
cement brick leaking sweeping mopping,Maintenance,Low,synth_highacc,4,1
install configure speed software download,IT Support,Low,synth_highacc,0,1
cupboard laundry broken balcony water,Hostels,Low,synth_highacc,1,1
dust fix replace drill floor,Maintenance,High,synth_highacc,4,2
volume fine missing thesis photocopy,Library,Medium,synth_highacc,8,0
withdrawal delayed tuition tuition gst,Fees / Finance,Medium,synth_highacc,3,0
application submission rejected deadline circular,Administration,High,synth_highacc,7,2
