complaint_id,complaint_text,category,sentiment_label,polarity_score,priority,source
C0036,"Honestly, grading for the mid-term was extremely unfair and inconsistent across sections. This has been going on for weeks.",Academic,neutral,0.0,Medium,claude
C0037,Grading for the mid-term was extremely unfair and inconsistent across sections.,Academic,neutral,0.0,Medium,claude
C0038,The hostel warden is very approachable and resolves issues quickly.,Hostel/Accommodation,positive,0.337,Low,claude
C0039,"Great, the elevator is out of service again on the busiest floor.",Infrastructure,neutral,0.2,Medium,claude
C0040,Quick query: asking if the fee payment deadline can be extended by a week. Thanks in advance.,General/Suggestion,neutral,0.08,Medium,claude
C0041,"Too much syllabus was left for the last week before exams, it's stressful.",Academic,neutral,0.0,Medium,claude
C0042,"For information, wondering if extra doubt-clearing sessions can be arranged before exams. Would appreciate an update.",General/Suggestion,neutral,0.016,Medium,claude
C0043,The counselor gave really practical advice during a stressful week.,Faculty/Staff Behavior,positive,0.573,Low,claude
C0044,Really glad that the hostel warden is very approachable and resolves issues quickly. This made a real difference.,Hostel/Accommodation,positive,0.293,Low,claude
C0045,Fee payment portal keeps throwing errors during the deadline week.,Administrative,neutral,0.0,Medium,claude
C0046,The sports ground was upgraded and it's much better now.,Infrastructure,positive,0.221,Low,claude
C0047,Some teachers show clear favoritism towards a few students.,Faculty/Staff Behavior,neutral,0.0,Medium,claude
C0048,The teacher explains concepts clearly but the pace is way too fast for us.,Academic,neutral,0.047,Low,claude
C0049,The student portal logs me out randomly while filling important forms.,IT/Technical,neutral,0.0,Medium,claude
C0050,"CCTV cameras in the parking area are non-functional, raising safety concerns.",Infrastructure,neutral,0.0,Medium,claude
C0051,Asking whether hostel allotment for next year has been finalized.,General/Suggestion,neutral,-0.04,Low,claude
C0052,"Honestly, marks distribution was not disclosed clearly for the internal assessment. This needs to be fixed soon.",Examination,neutral,0.2,Medium,claude
C0053,Requesting clarification on the revised attendance requirement.,General/Suggestion,neutral,0.083,Low,claude
C0054,"Wow, another class cancelled without notice, great planning.",Academic,neutral,0.2,Medium,claude
C0055,The mentor assigned to us is genuinely helpful and checks in regularly. This made a real difference.,Faculty/Staff Behavior,positive,0.755,Low,claude
C0056,Practical classes are almost never conducted as scheduled.,Academic,neutral,0.0,Medium,claude
C0057,Really glad that the course instructor is very knowledgeable and answers doubts patiently. This made a real difference.,Academic,positive,0.78,Low,claude
C0058,Projectors in Room 204 have not worked for over a month now.,Infrastructure,neutral,0.0,Medium,claude
C0059,Would like to know the process for changing elective subjects.,General/Suggestion,neutral,0.074,Low,claude
C0060,Really glad that the new online exam system is smooth and easy to use.,Examination,positive,0.223,Low,claude
C0061,"To be frank, the student portal logs me out randomly while filling important forms. Please look into this urgently.",IT/Technical,neutral,0.0,Medium,claude
C0062,"IT support resolved my login issue within minutes, really helpful.",IT/Technical,positive,0.599,Low,claude
C0063,The digital library access portal is a great addition this year.,Library,positive,0.227,Low,claude
C0064,WiFi in the college premises disconnects every ten minutes.,Infrastructure,neutral,0.0,Medium,claude
C0065,"Lecture recordings are not uploaded on time, we fall behind. This needs to be fixed soon.",Academic,neutral,0.2,Medium,claude
C0066,"Great, another line at the accounts office with only one counter open.",Administrative,neutral,0.2,Medium,claude
C0067,"Honestly, frequent power outages in the hostel disrupt study time every evening. Please look into this urgently.",Hostel/Accommodation,neutral,0.0,Medium,claude
C0068,"Nice, the professor changed the exam date again without informing everyone.",Faculty/Staff Behavior,neutral,0.0,Medium,claude
C0069,Exam schedule was released just three days before the exams started.,Examination,neutral,0.0,Medium,claude
C0070,Hygiene standards in the canteen kitchen need serious attention.,Canteen/Food,negative,-0.583,Medium,claude
C0071,The classroom AC is broken and it's unbearable during the afternoon sessions.,Infrastructure,negative,-0.464,Medium,claude
C0072,Requesting information on how to apply for an exam re-evaluation.,General/Suggestion,neutral,0.028,Medium,claude
C0073,Some staff members are dismissive when students raise genuine concerns.,Faculty/Staff Behavior,neutral,0.0,Medium,claude
C0074,"Wow, the portal is down again during registration week, as usual.",IT/Technical,neutral,0.0,Medium,claude
C0075,The new teaching method introduced this semester is genuinely helpful. Keep up the good work.,Academic,positive,0.8,Low,claude
C0076,A faculty member spoke very rudely to students during the lab session.,Faculty/Staff Behavior,neutral,-0.2,Medium,claude
C0077,"Just wanted to mention, laundry service in the hostel has become much more reliable lately.",Hostel/Accommodation,positive,0.207,Low,claude
C0078,Supplementary exam dates clashed with another subject's final exam.,Examination,neutral,0.0,Medium,claude
C0079,Appreciate the new healthy food counter added in the canteen.,Canteen/Food,positive,0.158,Low,claude
C0080,The result portal crashed on the day marks were supposed to be published.,Examination,neutral,0.0,Medium,claude
C0081,The professor rushes through the syllabus and never leaves time for questions. Please look into this urgently.,Academic,neutral,0.0,Medium,claude
C0082,Wifi in the hostel rooms barely works after 9pm when everyone is online.,Hostel/Accommodation,neutral,0.0,Medium,claude
C0083,Restrooms on the third floor are not cleaned regularly.,Infrastructure,neutral,0.0,Medium,claude
C0084,"It's disappointing that great, another line at the accounts office with only one counter open.",Administrative,neutral,0.2,Medium,claude
C0085,Noise levels in the reading hall are not managed properly.,Library,neutral,0.0,Medium,claude
C0086,Question papers had multiple printing errors this semester.,Examination,neutral,0.0,Medium,claude
C0087,"Honestly, some staff members are dismissive when students raise genuine concerns.",Faculty/Staff Behavior,neutral,0.0,Medium,claude
C0088,Canteen food prices increased without any improvement in quality.,Canteen/Food,neutral,0.2,Medium,claude
C0089,Happy to report that appreciate the new healthy food counter added in the canteen. Keep up the good work.,Canteen/Food,positive,0.833,Low,claude
C0090,It's disappointing that the classroom AC is broken and it's unbearable during the afternoon sessions. This has been going on for weeks.,Infrastructure,negative,-0.554,Medium,claude
C0091,"Attendance policy is applied differently by every teacher, very confusing.",Academic,neutral,0.0,Medium,claude
C0092,"Happy to report that the revised curriculum finally includes more practical, project-based work. Keep up the good work.",Academic,positive,0.612,Low,claude
C0093,Appreciate that the answer keys were published quickly this time.,Examination,positive,0.81,Low,claude
C0094,"It's disappointing that attendance policy is applied differently by every teacher, very confusing. This needs to be fixed soon.",Academic,neutral,0.2,Medium,claude
C0095,"Great, cold water again for the third day straight in the hostel.",Hostel/Accommodation,neutral,0.2,Medium,claude
C0096,Exam hall seating arrangement was chaotic and confusing this term.,Examination,neutral,0.0,Medium,claude
C0097,Asking if the fee payment deadline can be extended by a week.,General/Suggestion,neutral,0.0,Medium,claude
C0098,Our class teacher is always supportive and encourages open discussion.,Faculty/Staff Behavior,positive,0.388,Low,claude
C0099,A teacher made discriminatory remarks about students from certain backgrounds.,Faculty/Staff Behavior,neutral,0.0,Medium,claude
C0100,Exam hall seating arrangement was chaotic and confusing this term. This needs to be fixed soon.,Examination,neutral,0.2,Medium,claude
C0101,Canteen seating capacity is too small for the number of students.,Canteen/Food,neutral,0.0,Medium,claude
C0102,Some faculty members don't follow the official syllabus at all.,Academic,neutral,0.0,Medium,claude
C0103,"Honestly, there is no proper ramp access for differently-abled students in Block C. This needs to be fixed soon.",Infrastructure,neutral,0.2,Medium,claude
C0104,The new canteen vendor offers much better variety and taste.,Canteen/Food,positive,0.847,Low,claude
C0105,"Great, cold water again for the third day straight in the hostel. Please look into this urgently.",Hostel/Accommodation,neutral,0.2,Medium,claude
C0106,Library staff helped me find research papers really quickly.,Library,positive,0.214,Low,claude
C0107,I'm really frustrated that iD card renewal process is unnecessarily complicated and slow.,Administrative,neutral,0.0,Medium,claude
C0108,I appreciate that the teacher shares extra resources for weak students.,Academic,positive,0.717,Low,claude
C0109,"To be frank, notes provided are incomplete and full of typos. This has been going on for weeks.",Academic,neutral,0.0,Medium,claude
C0110,Hot water is not available in the hostel bathrooms during winter mornings.,Hostel/Accommodation,neutral,0.0,Medium,claude
C0111,"Re-checking process for answer sheets takes way too long, over a month.",Examination,neutral,0.0,Medium,claude
C0112,I'm really frustrated that exam schedule was released just three days before the exams started. This has been going on for weeks.,Examination,neutral,0.0,Medium,claude
C0113,Library closes too early for students who want to study after evening classes.,Library,neutral,0.0,Medium,claude
C0114,Study rooms in the library are almost always occupied and never bookable.,Library,neutral,0.0,Medium,claude
C0115,"Faculty response to emails takes more than a week, sometimes no response at all.",Faculty/Staff Behavior,negative,-0.18,Medium,claude
C0116,"Honestly, hostel mess food quality has drastically dropped this semester. Please look into this urgently.",Hostel/Accommodation,neutral,0.0,Medium,claude
C0117,Happy to report that library staff helped me find research papers really quickly. This made a real difference.,Library,positive,0.239,Low,claude
C0118,"Honestly, great, the elevator is out of service again on the busiest floor. Please look into this urgently.",Infrastructure,neutral,0.2,Medium,claude
C0119,Classroom benches are broken and uncomfortable to sit on for long hours. This needs to be fixed soon.,Infrastructure,negative,-0.326,Medium,claude
C0120,Cleanliness in shared hostel washrooms needs serious improvement.,Hostel/Accommodation,negative,-0.736,Medium,claude
C0121,The new teaching method introduced this semester is genuinely helpful.,Academic,positive,0.171,Low,claude
C0122,"Great, food poisoning risk again from the canteen's stale snacks.",Canteen/Food,negative,-0.17,High,claude
C0123,The recently added attendance tracking feature works really well.,IT/Technical,positive,0.468,Low,claude
C0124,ID card renewal process is unnecessarily complicated and slow.,Administrative,neutral,0.0,Medium,claude
C0125,One of the lecturers publicly humiliated a student for asking a question.,Faculty/Staff Behavior,neutral,0.0,Medium,claude
C0126,"Honestly, nobody in the admin office could give a clear answer about my transcript request. This needs to be fixed soon.",Administrative,neutral,0.2,Medium,claude
C0127,"Assignment deadlines are given with barely two days notice, which is unreasonable.",Academic,neutral,0.0,Medium,claude
C0128,I feel the lecture slides are just copy pasted from the textbook without explanation.,Academic,neutral,0.0,Medium,claude
C0129,New furniture in the seminar hall is a great improvement.,Infrastructure,positive,0.583,Low,claude
C0130,"To be frank, hygiene standards in the canteen kitchen need serious attention. This has been going on for weeks.",Canteen/Food,negative,-0.739,Medium,claude
C0131,Laundry service in the hostel has become much more reliable lately.,Hostel/Accommodation,positive,0.66,Low,claude
C0132,I'm really frustrated that fee structure changes were not communicated to students in advance. This needs to be fixed soon.,Administrative,neutral,0.2,Medium,claude
C0133,The hostel mess committee actually took our food suggestions seriously.,Hostel/Accommodation,positive,0.843,Low,claude
C0135,Scholarship disbursement has been delayed for over two months now.,Administrative,negative,-0.696,Medium,claude
C0136,It's disappointing that a faculty member spoke very rudely to students during the lab session. Please look into this urgently.,Faculty/Staff Behavior,neutral,-0.2,Medium,claude
C0137,"Nice, the admit card portal is down again right before the exam.",Examination,neutral,0.0,Medium,claude
C0138,The HOD refuses to entertain any student queries during office hours.,Faculty/Staff Behavior,negative,-0.361,Medium,claude
C0139,The renovated library reading area is spacious and well-lit.,Infrastructure,positive,0.353,Low,claude
C0140,"It's disappointing that assignment deadlines are given with barely two days notice, which is unreasonable. This needs to be fixed soon.",Academic,neutral,0.2,Medium,claude
C0141,"Quick query: class timing overlaps with another core subject, scheduling needs review. Would appreciate an update.",Academic,neutral,0.042,Low,claude
C0142,Newly renovated hostel rooms are clean and comfortable.,Hostel/Accommodation,positive,0.604,Low,claude
C0143,New furniture in the seminar hall is a great improvement. This made a real difference.,Infrastructure,positive,0.799,Low,claude
C0144,Wondering if extra doubt-clearing sessions can be arranged before exams.,General/Suggestion,neutral,-0.064,Low,claude
C0145,"Just checking, the teacher explains concepts clearly but the pace is way too fast for us. Would appreciate an update.",Academic,neutral,-0.052,Low,claude
C0146,Document verification for placements was handled smoothly this year.,Administrative,positive,0.559,Low,claude
C0147,"To be frank, great, food poisoning risk again from the canteen's stale snacks.",Canteen/Food,negative,-0.833,High,claude
C0148,Room maintenance requests take weeks to be addressed.,Hostel/Accommodation,neutral,0.0,Medium,claude
C0149,There was no proper explanation given for the sudden syllabus change before exams.,Examination,neutral,0.0,Medium,claude
C0150,Really glad that the hostel mess committee actually took our food suggestions seriously. Keep up the good work.,Hostel/Accommodation,positive,0.336,Low,claude
C0151,"For information, requesting clarification on the revised attendance requirement. Would appreciate an update.",General/Suggestion,neutral,-0.078,Medium,claude
C0152,"To be frank, wiFi in the college premises disconnects every ten minutes. Please look into this urgently.",Infrastructure,neutral,0.0,Medium,claude
C0153,Happy to report that admin staff processed my scholarship documents quickly and efficiently.,Administrative,positive,0.39,Low,claude
C0154,There is no clarity on the refund policy for dropped courses.,Administrative,neutral,0.0,Medium,claude
C0155,The sports ground was upgraded and it's much better now. Keep up the good work.,Infrastructure,positive,0.283,Low,claude
C0156,Classroom benches are broken and uncomfortable to sit on for long hours.,Infrastructure,negative,-0.794,Medium,claude
C0157,Long queues during lunch break waste almost half our break time.,Canteen/Food,neutral,0.0,Medium,claude
C0158,Notifications from the college app are delayed by several hours sometimes.,IT/Technical,negative,-0.546,Medium,claude
C0159,"Lecture hall microphones are broken, hard to hear from the back rows.",Infrastructure,negative,-0.595,Medium,claude
C0160,The lab instructor is patient and explains equipment usage well.,Faculty/Staff Behavior,positive,0.525,Low,claude
C0161,It's disappointing that power cuts during lab sessions have become a regular problem this month. Please look into this urgently.,Infrastructure,neutral,-0.2,Medium,claude
C0162,Getting a bonafide certificate took over two weeks of follow-up.,Administrative,neutral,0.0,Medium,claude
C0163,The new LMS interface is intuitive and easy to navigate.,IT/Technical,positive,0.526,Low,claude
C0164,Fee structure changes were not communicated to students in advance.,Administrative,neutral,0.0,Medium,claude
C0165,Assignment upload feature on the portal fails right before deadlines.,IT/Technical,neutral,0.0,Medium,claude
C0166,The new online form submission system saved us a lot of time.,Administrative,positive,0.323,Low,claude
C0167,Some faculty members don't follow the official syllabus at all. Please look into this urgently.,Academic,neutral,0.0,Medium,claude
C0168,Admin staff processed my scholarship documents quickly and efficiently.,Administrative,positive,0.79,Low,claude
C0169,Faculty behavior in the last parent-teacher meeting was unprofessional.,Faculty/Staff Behavior,neutral,0.0,Medium,claude
C0170,Nobody in the admin office could give a clear answer about my transcript request.,Administrative,neutral,0.0,Medium,claude
C0171,There was no proper explanation given for the sudden syllabus change before exams. This has been going on for weeks.,Examination,neutral,0.0,Medium,claude
C0172,"The registrar's office responded to my email within a day, appreciated.",Administrative,positive,0.43,Low,claude
C0173,Really glad that the digital library access portal is a great addition this year. This made a real difference.,Library,positive,0.779,Low,claude
C0174,Notes provided are incomplete and full of typos.,Academic,neutral,0.0,Medium,claude
C0175,Class timetable for next semester has not been published yet.,General/Suggestion,neutral,0.075,Low,claude
C0176,New e-book subscriptions added this year are genuinely useful.,Library,positive,0.446,Low,claude
C0177,Hostel mess food quality has drastically dropped this semester.,Hostel/Accommodation,neutral,0.0,Medium,claude
C0178,"Honestly, library doesn't have enough copies of the prescribed textbooks. This has been going on for weeks.",Library,neutral,0.0,Medium,claude
C0179,I'm really frustrated that long queues during lunch break waste almost half our break time.,Canteen/Food,neutral,0.0,Medium,claude
C0180,Really glad that the lab instructor is patient and explains equipment usage well. Keep up the good work.,Faculty/Staff Behavior,positive,0.324,Low,claude
C0181,It's disappointing that the HOD refuses to entertain any student queries during office hours.,Faculty/Staff Behavior,negative,-0.717,Medium,claude
C0182,The professor rushes through the syllabus and never leaves time for questions.,Academic,neutral,0.0,Medium,claude
C0183,Suggesting an additional bus route for students staying off-campus.,General/Suggestion,neutral,-0.047,Low,claude
C0184,"For information, class timetable for next semester has not been published yet. Would appreciate an update.",General/Suggestion,neutral,-0.077,Medium,claude
C0185,"Lecture recordings are not uploaded on time, we fall behind.",Academic,neutral,0.0,Medium,claude
C0186,Invigilators were strict but fair during the final exams.,Examination,positive,0.693,Low,claude
C0187,"Wifi speed has improved a lot after the recent upgrade, thank you.",Infrastructure,positive,0.595,Low,claude
C0187,I have tried several times but the scholarship certificate issuance is constantly under-maintained for almost two weeks now.,Administrative,neutral,0.0,Medium,synth
C0188,It is really disappointing that the main gate escalator keeps getting delayed since the start of the semester!,Infrastructure,negative,-0.4,Medium,synth
C0189,Happy to report that the pedestrian crossings- the improvement is visible.,Infrastructure,positive,0.8,Low,synth
C0190,Grateful to finally see the covered drainage channels and the effort shows.,Infrastructure,positive,0.4,Low,synth
C0191,The condition of the behaviour of the front desk clerk is not up to the expected standard despite repeated complaints- please take it seriously.,Faculty/Staff Behavior,neutral,-0.2,Medium,synth
C0192,It is a pleasure to see that the improved exam seating- thanks to the concerned team.,Examination,positive,0.8,Low,synth
C0193,"May I know the current status of the transfer certificate procedure If possible, share the office address as well.",Administrative,neutral,0.0,Low,synth
C0194,My complaint remains unresolved because the behaviour of the front desk clerk is still not working again this month.,Faculty/Staff Behavior,negative,-0.8,Medium,synth
C0195,Still facing the issue that the sports office staff response keeps getting delayed for almost two weeks now- please take it seriously.,Faculty/Staff Behavior,negative,-0.8,Medium,synth
C0196,Commendable effort around the on time result publication- our sincere thanks.,Examination,positive,0.4,Low,synth
C0197,"Could you explain how the notice board permission process If possible, share the office address as well.",General/Suggestion,neutral,0.0,Low,synth
C0198,A big thanks that the fair seating assistance we really valued the support.,Faculty/Staff Behavior,positive,0.4,Low,synth
C0199,Impressed that the smooth book return counter- the improvement is visible.,Library,positive,0.8,Low,synth
C0200,It can no longer be ignored that the result publication schedule has never been repaired and students have already reported it- please take it seriously.,Examination,negative,-0.8,High,synth
C0201,Refreshing to note that the on time result publication- our sincere thanks.,Examination,positive,0.4,Low,synth
C0202,I am looking for the exact procedure for the complaint channel for staff conduct Are walk ins accepted?,Faculty/Staff Behavior,neutral,-0.2,Low,synth
C0203,"Honestly, nothing improves while the volunteer requirement list has degraded further over time for almost two weeks now- please take it seriously.",General/Suggestion,neutral,0.0,Medium,synth
C0204,Really appreciate that the smooth result portal experience- the improvement is visible.,Examination,positive,0.8,Low,synth
C0205,When does the window for the reference book renewal limits Does it require prior appointment?,Library,neutral,0.0,Medium,synth
C0206,I would like to know the schedule for the answer sheet viewing procedure Does it require prior appointment?,Examination,neutral,0.0,Medium,synth
C0207,Impressed that the revised study structure we really valued the support.,Academic,positive,0.4,Low,synth
C0208,It is a pleasure to see that the upgraded common room lighting and the effort shows.,Hostel/Accommodation,positive,0.35,Low,synth
C0209,"I would like to know the schedule for the reference book renewal limits If possible, share the office address as well.",Library,neutral,0.0,Medium,synth
C0210,My complaint remains unresolved because the assignment submission portal has not been fixed despite requests despite repeated complaints.,Academic,negative,-0.35,Medium,synth
C0211,Kindly confirm the required documents for the guest entry rules?,Hostel/Accommodation,neutral,0.0,Low,synth
C0212,This is a serious problem: the lab assistant attitude stopped working again and students have already reported it- kindly look into it at the earliest.,Faculty/Staff Behavior,negative,-0.8,High,synth
C0213,This is a serious problem: the result publication schedule remains completely unavailable and students have already reported it- please take it seriously.,Examination,negative,-1.0,High,synth
C0214,"Could you explain how the credit transfer policy If possible, share the office address as well.",Academic,neutral,0.0,Low,synth
C0215,Satisfied that the recorded lecture facility- thanks to the concerned team.,Academic,positive,0.8,Low,synth
C0216,Refreshing to note that the improved network speed- the improvement is visible.,IT/Technical,positive,0.4,Low,synth
C0217,Delighted that the quality control checks- the improvement is visible.,Canteen/Food,positive,0.8,Low,synth
C0218,Good to see that the welcoming office tone- the improvement is visible.,Faculty/Staff Behavior,positive,0.8,Low,synth
C0219,Could you point me to the right authority for the result verification steps Could you mail a copy of the policy?,Examination,neutral,0.0,Low,synth
C0220,The situation with the hostel caretaker conduct still does not function again this month- kindly look into it at the earliest.,Faculty/Staff Behavior,neutral,0.0,Medium,synth
C0221,I am looking for the exact procedure for the fee refund timeline?,Administrative,neutral,0.0,Medium,synth
C0222,I would like to know the schedule for the certificate request process Could you mail a copy of the policy?,Academic,neutral,0.0,Medium,synth
C0223,Warning signs were clear but the recheck process for answer scripts remains completely unavailable and nothing has been done yet.,Examination,neutral,-0.2,High,synth
C0224,Really appreciate that the new courtyard seating and the turnaround was quick.,General/Suggestion,positive,0.4,Low,synth
C0225,I would like to know the schedule for the licence approval process Could you mail a copy of the policy?,IT/Technical,neutral,0.0,Medium,synth
C0226,It can no longer be ignored that the library entrance turnstiles is out of order since morning and nothing has been done yet.,Library,negative,-0.4,High,synth
C0227,Commendable effort around the polite caretaker team and the effort shows.,Hostel/Accommodation,positive,0.35,Low,synth
C0228,Please guide me on the steps for the attendance reversal window?,Academic,neutral,0.0,Medium,synth
C0229,Great news that the friendly complaints desk- thanks to the concerned team.,Hostel/Accommodation,positive,0.4,Low,synth
C0230,Really appreciate that the transparent re-evaluation process and the effort shows.,Examination,positive,0.4,Low,synth
C0231,Very pleased that the quick window repairs and the effort shows.,Hostel/Accommodation,positive,0.4,Low,synth
C0232,Refreshing to note that the clear fee notices- the improvement is visible.,Administrative,positive,0.4,Low,synth
C0233,Really appreciate that the improved lab manuals- thanks to the concerned team.,Academic,positive,1.0,Low,synth
C0234,Commendable effort around the transparent re-evaluation process and the effort shows.,Examination,positive,0.35,Low,synth
C0235,Could you clarify the process for the backlog subject form Could you mail a copy of the policy?,Examination,neutral,0.0,Medium,synth
C0236,Requesting information about the academic calendar circulars Does it require prior appointment?,Academic,neutral,0.0,Medium,synth
C0237,Is there any form for the room transfer form Are walk ins accepted?,Hostel/Accommodation,neutral,0.0,Medium,synth
C0238,This is a serious problem: the single sign on portal remains completely unavailable and students have already reported it- kindly look into it at the earliest.,IT/Technical,negative,-1.0,High,synth
C0239,Happy to report that the new courtyard seating- the improvement is visible.,General/Suggestion,positive,0.8,Low,synth
C0240,Kindly update the current policy for the wall repair plan?,Infrastructure,neutral,0.0,Low,synth
C0241,This is a serious problem: the fee receipt correction window has never been repaired and no one from the office follows up.,Administrative,negative,-0.8,High,synth
C0242,"Honestly, nothing improves while the recheck process for answer scripts still does not function despite repeated complaints!",Examination,neutral,0.0,Medium,synth
C0243,This is a serious problem: the volunteer requirement list stopped working again and no one from the office follows up- please take it seriously.,General/Suggestion,negative,-0.8,High,synth
C0244,Satisfied that the transparent grading policy- the improvement is visible.,Academic,positive,0.8,Low,synth
C0245,Grateful to finally see the courteous accounts staff- the improvement is visible.,Administrative,positive,0.8,Low,synth
C0246,Seeking clarification on the price revision policy Could you mail a copy of the policy?,Canteen/Food,neutral,0.0,Low,synth
C0247,Kindly confirm the required documents for the anonymous feedback process Are walk ins accepted?,Faculty/Staff Behavior,neutral,0.0,Low,synth
C0248,My complaint remains unresolved because the behaviour of the front desk clerk has not been fixed despite requests since the start of the semester!,Faculty/Staff Behavior,negative,-0.35,Medium,synth
C0249,Is there any form for the certificate authentication process Are walk ins accepted?,Administrative,neutral,0.0,Medium,synth
C0250,Satisfied that the friendly admission responses and the turnaround was quick.,Faculty/Staff Behavior,positive,0.4,Low,synth
C0251,Students here are badly affected because the volunteer requirement list has degraded further over time despite repeated complaints.,General/Suggestion,neutral,-0.2,Medium,synth
C0252,Happy to report that the polite caretaker team- thanks to the concerned team.,Hostel/Accommodation,positive,0.8,Low,synth
C0253,Requesting information about the special meal order process Could you mail a copy of the policy?,Canteen/Food,neutral,0.0,Medium,synth
C0254,Still facing the issue that the print server for labs is still not working for almost two weeks now- kindly look into it at the earliest.,IT/Technical,negative,-0.4,Medium,synth
C0255,Really appreciate that the updated orientation week and the turnaround was quick.,General/Suggestion,positive,0.4,Low,synth
C0256,"Requesting information about the weekly menu schedule If possible, share the office address as well.",Canteen/Food,neutral,0.0,Medium,synth
C0257,A big thanks that the redesigned notice boards and the turnaround was quick.,General/Suggestion,positive,0.4,Low,synth
C0258,"Honestly, nothing improves while the course registration desk keeps breaking down for almost two weeks now!",Administrative,neutral,0.2,Medium,synth
C0259,Impressed that the cleaned common rooms we really valued the support.,Hostel/Accommodation,positive,0.4,Low,synth
C0260,May I know the current status of the room transfer form Could you mail a copy of the policy?,Hostel/Accommodation,neutral,0.0,Medium,synth
C0261,Seeking clarification on the special meal order process Does it require prior appointment?,Canteen/Food,neutral,0.0,Low,synth
C0262,Grateful to finally see the quick response of the IT team and the effort shows.,IT/Technical,positive,0.4,Low,synth
C0263,I am looking for the exact procedure for the anonymous feedback process?,Faculty/Staff Behavior,neutral,0.0,Low,synth
C0264,This is a serious problem: the practical exam slots stopped working again and no one from the office follows up- kindly look into it at the earliest.,Examination,negative,-0.8,High,synth
C0265,Could you clarify the process for the drainage cleaning plan?,Infrastructure,neutral,0.0,Low,synth
C0266,Requesting information about the portion size guidelines?,Canteen/Food,neutral,0.0,Medium,synth
C0267,Great news that the extended weekend hours we really valued the support.,Library,positive,0.4,Low,synth
